Location,Gene Symbol,Distance from Gene(s),Direction,Methylation Percentage,Number of CpGs,P-value,FWER,Flagged
Chr10:1505697-1505731,ADARB2,In Gene,↓,6.78%,3,0.0245,1,0
Chr5:3326382-3326417,LINC01019,90849,↑,6.76%,3,0.0247,1,0
Chr2:129659683-129659700,HS6ST1,583532,↑,6.72%,3,0.0248,1,1
Chr15:31599093-31599112,KLF13,19946,↓,6.71%,3,0.0249,1,0
Chr15:69222619-69222633,SPESP1,In Gene,↑,6.70%,3,0.0249,1,0
Chr2:63285982-63285991,OTX1,1011,↑,6.70%,3,0.0249,1,0
Chr11:1865865-1865929,TNNI2,2955,↑,6.67%,3,0.0251,1,0
Chr1:25240933-25240946,RUNX3,In Gene,↑,6.67%,3,0.0251,1,0
Chr8:1796428-1796437,ARHGEF10,In Gene,↓,6.67%,3,0.0251,1,0
Chr11:719821-719829,EPS8L2,In Gene,↓,6.66%,3,0.0251,1,0
Chr1:228785908-228785950,DUSP5P1,In Gene,↓,6.66%,3,0.0251,1,0
Chr22:50737918-50737949,PLXNB2,In Gene,↓,6.65%,3,0.0252,1,0
Chr9:22006027-22006043,"CDKN2B, CDKN2B-AS1",In Gene,↓,6.64%,3,0.0252,1,1
Chr2:857569-857593,LINC01115,In Gene,↑,6.63%,3,0.0252,1,0
Chr1:39981507-39981509,BMP8A,In Gene,↓,6.60%,3,0.0253,1,1
Chr4:57458713-57458740,THEGL,In Gene,↑,6.59%,3,0.0254,1,1
Chr11:68417568-68417590,GAL,33657,↑,6.58%,3,0.0254,1,0
Chr12:131864875-131864895,GPR133,238861,↓,6.56%,3,0.0255,1,0
Chr14:75447876-75447889,EIF2B2,21725,↓,6.53%,3,0.0256,1,0
Chr16:88454815-88454828,ZNF469,39051,↑,6.50%,3,0.0256,1,1
Chr17:21220144-21220168,MAP2K3,1592,↓,6.50%,3,0.0256,1,0
Chr16:854314-854329,PRR25,1114,↑,6.40%,3,0.0258,1,1
Chr16:30198740-30198756,CORO1A,In Gene,↑,6.36%,3,0.0259,1,0
Chr2:44394675-44394748,PPM1B,360,↓,6.30%,3,0.0259,1,0
Only results with an uncorrected P-value<0.05 and at least 3 CpG sites within the DMR were included.,,,,,,,,
Gene symbols annotated using Ensembl release 75.,,,,,,,,
Arrows indicate direction of DNA methylation change in relation to case subjects (bipolar disorder or bipolar disorder suicide subjects). ,,,,,,,,
Results are sorted by P-value. ,,,,,,,,
"The flagged column annotates differentially methylated regions (DMRs) with a multi-modal distribution of DNA methylation; 1 confirms the presence of the pattern, 0 confirms the absence of the pattern.",,,,,,,,
,,,,,,,,
