CpG ID,Chromsoome,Position,Strand,Gene Symbol(s),Genomic Strcture(s),Relation to CpG Island,Correlation with LSI,aLIS FDR,Known Stress Gene?,Potentially Functional?
cg25855249,chr6,151646817,-,AKAP12;AKAP12;AKAP12,5'UTR;1stExon;Body,Island,0.4810452,0.004114932,FALSE,FALSE
cg06019170,chr6,151646957,+,AKAP12;AKAP12;AKAP12,5'UTR;1stExon;Body,Island,0.3747172,0.021514574,FALSE,FALSE
cg15166039,chr6,160023626,+,NA,NA,OpenSea,-0.5047574,0.019029156,FALSE,FALSE
cg26873880,chr6,160023689,+,NA,NA,OpenSea,-0.5420076,0.009285667,FALSE,FALSE
cg27503950,chr6,160024002,-,NA,NA,OpenSea,-0.4737666,0.010972669,FALSE,FALSE
cg12854815,chr6,160024144,+,NA,NA,OpenSea,-0.7034415,0.019399243,FALSE,FALSE
cg05170671,chr6,164393586,-,NA,NA,Island,0.580446,0.023677238,FALSE,FALSE
cg15591276,chr7,1265851,+,NA,NA,S_Shore,-0.5927635,0.02051037,FALSE,FALSE
cg05886620,chr7,1266180,+,NA,NA,S_Shore,-0.5325274,0.006696074,FALSE,FALSE
cg15641398,chr7,1266616,-,NA,NA,S_Shore,-0.5525384,0.005433976,FALSE,FALSE
cg15679892,chr7,1267057,+,NA,NA,S_Shore,-0.5132263,0.010063973,FALSE,FALSE
cg11715858,chr7,1267228,-,NA,NA,N_Shore,-0.5975591,0.035588109,FALSE,FALSE
cg06890291,chr7,1542315,-,INTS1,Body,N_Shore,-0.7126304,0.017448603,FALSE,FALSE
cg22796353,chr7,156400281,+,NA,NA,Island,0.7709355,0.000646181,FALSE,FALSE
cg16561657,chr7,156400711,+,NA,NA,Island,0.7176964,8.71E-05,FALSE,FALSE
cg18584424,chr7,156400779,+,NA,NA,S_Shore,0.7386241,5.20E-05,FALSE,FALSE
cg27483342,chr7,156400881,+,NA,NA,S_Shore,0.7022419,0.001293995,FALSE,FALSE
cg08364137,chr7,156400990,+,NA,NA,S_Shore,0.6043618,0.040003428,FALSE,FALSE
cg11227987,chr7,158250469,+,PTPRN2;PTPRN2;PTPRN2,Body;Body;Body,Island,0.6178744,0.024577661,TRUE,FALSE
cg11575295,chr7,158250911,+,PTPRN2;PTPRN2;PTPRN2,Body;Body;Body,S_Shore,-0.3895718,0.033920263,TRUE,FALSE
cg02490460,chr8,1365502,+,NA,NA,Island,0.4479331,0.045747794,FALSE,FALSE
cg15000813,chr8,17454394,-,PDGFRL,Body,OpenSea,-0.8135808,0.008492486,FALSE,FALSE
cg14353573,chr8,95220779,-,CDH17;CDH17;CDH17,5'UTR;1stExon;5'UTR,OpenSea,-0.7373108,0.031096616,TRUE,FALSE
cg23324537,chr8,110656096,-,GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN,Body;Body;Body;Body;5'UTR;5'UTR;Body;Body;Body;Body;Body;TSS1500;Body;5'UTR;Body,N_Shore,0.5175724,0.044570035,FALSE,FALSE
cg23122263,chr8,110656166,-,GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN,Body;Body;Body;Body;5'UTR;5'UTR;Body;Body;Body;Body;Body;TSS1500;Body;5'UTR;Body,N_Shore,0.464776,0.02771103,FALSE,FALSE
cg02386604,chr8,110656245,-,GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN,Body;Body;Body;Body;5'UTR;5'UTR;Body;Body;Body;Body;Body;TSS1500;Body;5'UTR;Body,N_Shore,0.422277,0.026933546,FALSE,FALSE
cg25834419,chr8,110656442,+,GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN,Body;Body;Body;Body;5'UTR;5'UTR;Body;Body;Body;Body;Body;TSS1500;Body;5'UTR;Body,N_Shore,0.4266935,0.041571274,FALSE,FALSE
cg26141173,chr8,125463007,-,TRMT12,TSS200,OpenSea,0.7589901,0.004390511,FALSE,FALSE
cg11829072,chr8,125463024,+,TRMT12,TSS200,OpenSea,0.6938858,0.000179016,FALSE,FALSE
cg25375711,chr8,125463057,-,TRMT12;TRMT12,1stExon;5'UTR,OpenSea,0.7135657,8.04E-05,FALSE,FALSE
cg26547947,chr8,125463066,-,TRMT12;TRMT12,1stExon;5'UTR,OpenSea,0.8142548,1.83E-05,FALSE,FALSE
cg22853986,chr8,125463310,-,TRMT12,1stExon,OpenSea,0.7973869,0.000100079,FALSE,FALSE
cg00846483,chr8,125463682,-,TRMT12,1stExon,OpenSea,0.7194025,0.013606543,FALSE,FALSE
cg14809332,chr8,144654887,+,C8orf73;C8orf73,1stExon;5'UTR,S_Shore,0.4492352,0.03987252,FALSE,FALSE
cg26536354,chr8,144654954,-,C8orf73,TSS200,S_Shore,0.5092658,0.029006613,FALSE,FALSE
cg19878482,chr8,144655026,-,C8orf73,TSS200,S_Shore,0.5881859,0.034695129,FALSE,FALSE
cg13607993,chr9,19935213,-,NA,NA,S_Shore,0.6486563,0.014416636,FALSE,FALSE
cg03531853,chr9,86535572,+,KIF27,5'UTR,N_Shore,0.7352244,0.021769754,FALSE,FALSE
cg13530448,chr9,86535695,+,KIF27,5'UTR,N_Shore,0.3452794,0.014313282,FALSE,FALSE
cg00426963,chr9,86535755,-,KIF27,5'UTR,Island,0.7601545,0.003516182,FALSE,FALSE
cg13786666,chr9,86536028,+,KIF27,5'UTR,Island,-0.5243401,0.026672382,FALSE,FALSE
cg14625636,chr9,100000026,-,KIAA1529,TSS1500,N_Shore,-0.7573303,0.007984346,FALSE,FALSE
cg13713218,chr9,100000033,-,KIAA1529,TSS1500,N_Shore,-0.7180004,0.00286678,FALSE,FALSE
cg19180498,chr9,100000415,+,KIAA1529,TSS1500,N_Shore,-0.6231665,0.016860372,FALSE,FALSE
cg14434109,chr9,136919671,+,BRD3,5'UTR,S_Shore,0.7347232,0.012051803,FALSE,FALSE
cg14472181,chr9,136921209,+,BRD3,5'UTR,S_Shore,0.6151211,0.023171528,FALSE,FALSE
cg23711873,chr10,77035993,-,NA,NA,OpenSea,0.7385343,0.011963184,FALSE,FALSE
cg24644902,chr10,77036275,-,NA,NA,OpenSea,0.558837,0.018534067,FALSE,FALSE
cg14807565,chr10,94179972,+,NA,NA,N_Shore,0.5634022,0.029139061,FALSE,FALSE
cg18303477,chr10,94180046,-,NA,NA,N_Shore,0.4172349,0.021642217,FALSE,FALSE
cg22579265,chr10,94180383,-,NA,NA,Island,0.4243695,0.021007093,FALSE,FALSE
cg01297808,chr10,94180551,+,NA,NA,Island,0.6851683,0.024707664,FALSE,FALSE
cg10882304,chr10,123923099,-,TACC2;TACC2;TACC2;TACC2,Body;TSS200;TSS200;Body,Island,-0.3435673,0.038433314,FALSE,FALSE
cg26071526,chr10,123923273,+,TACC2;TACC2;TACC2;TACC2;TACC2;TACC2,Body;1stExon;5'UTR;5'UTR;Body;1stExon,Island,-0.5609886,0.024056669,FALSE,FALSE
cg21951457,chr10,123923450,+,TACC2;TACC2;TACC2;TACC2,Body;1stExon;Body;1stExon,Island,-0.5256895,0.036485404,FALSE,FALSE
cg01266390,chr10,125034002,+,NA,NA,OpenSea,0.5785047,0.012760988,FALSE,FALSE
cg18623649,chr10,125034066,+,NA,NA,OpenSea,0.3987817,0.004611969,FALSE,FALSE
cg02477603,chr10,125034296,+,NA,NA,OpenSea,0.7384533,0.00014994,FALSE,FALSE
cg14321742,chr10,125034450,-,NA,NA,OpenSea,0.5331513,0.000555656,FALSE,FALSE
cg03477112,chr10,125034571,+,NA,NA,OpenSea,0.3403382,0.00178572,FALSE,FALSE
cg07951083,chr10,125034591,+,NA,NA,OpenSea,0.5642417,0.000584867,FALSE,FALSE
cg18979589,chr10,125034818,-,NA,NA,OpenSea,0.6931308,0.001023539,FALSE,FALSE
cg22919863,chr10,125040514,-,NA,NA,OpenSea,0.08395498,0.013703951,FALSE,FALSE
cg02396116,chr10,125114593,+,NA,NA,OpenSea,0.147085,0.014109947,FALSE,FALSE
cg05061450,chr10,125114974,+,NA,NA,OpenSea,-0.2362174,0.00662923,FALSE,FALSE
cg08690241,chr10,125115855,+,NA,NA,OpenSea,0.5586042,0.002785485,FALSE,FALSE
cg25288034,chr10,125117367,+,NA,NA,OpenSea,0.6246385,0.001958235,FALSE,FALSE
cg16206341,chr10,125117394,+,NA,NA,OpenSea,0.4833452,0.007169196,FALSE,FALSE
cg23521973,chr10,125117429,+,NA,NA,OpenSea,0.580926,0.025893772,FALSE,FALSE
cg18228116,chr10,133995345,+,JAKMIP3,3'UTR,N_Shelf,0.5150936,0.031989007,FALSE,FALSE
cg24877675,chr10,133995387,+,JAKMIP3,3'UTR,N_Shelf,0.4571441,0.044440149,FALSE,FALSE
cg11860238,chr10,134726665,+,NA,NA,N_Shelf,-0.7074995,0.015827247,FALSE,FALSE
cg12319143,chr10,134726771,+,NA,NA,N_Shelf,-0.7934433,0.000709378,FALSE,FALSE
cg22716280,chr10,134727319,-,NA,NA,N_Shelf,-0.6475602,0.014522995,FALSE,FALSE
cg07338577,chr11,288954,-,ATHL1,TSS200,Island,-0.5520901,0.001201883,FALSE,FALSE
cg07314988,chr11,289774,+,ATHL1,5'UTR,Island,0.5732112,0.000124901,FALSE,FALSE
cg10261205,chr11,289927,-,ATHL1,Body,Island,0.6331358,6.19E-05,FALSE,FALSE
cg10411146,chr11,289966,-,ATHL1,Body,Island,0.5482813,0.001612024,FALSE,FALSE
cg08596595,chr11,290292,-,ATHL1,Body,S_Shore,0.6513262,0.014211729,FALSE,FALSE
cg23618269,chr11,1215457,-,NA,NA,Island,0.5718876,0.020386763,FALSE,FALSE
cg25780434,chr11,1215608,-,NA,NA,Island,-0.5611791,0.024841573,FALSE,FALSE
cg12186219,chr11,1463541,+,BRSK2,Body,N_Shore,0.3809614,0.047453602,TRUE,FALSE
cg14064268,chr11,1463554,+,BRSK2,Body,N_Shore,0.4959197,0.009039071,TRUE,FALSE
cg10590925,chr11,1463620,-,BRSK2,Body,N_Shore,0.4716053,0.002705483,TRUE,FALSE
cg17429870,chr11,1463662,+,BRSK2,Body,N_Shore,0.510428,0.001820435,TRUE,FALSE
cg04984852,chr11,1463935,+,BRSK2,Body,N_Shore,0.3498146,0.00519214,TRUE,FALSE
cg08012275,chr11,1464300,+,BRSK2,Body,Island,0.4405113,0.008347007,TRUE,FALSE
cg09600088,chr11,1464485,+,BRSK2,Body,Island,0.1489332,0.024316155,TRUE,FALSE
cg01182863,chr11,1464792,+,BRSK2,Body,Island,0.3386406,0.025239666,TRUE,FALSE
cg19132462,chr11,10476608,-,AMPD3;AMPD3;AMPD3,TSS200;TSS1500;Body,S_Shelf,0.5694692,0.040525355,TRUE,FALSE
cg18010131,chr11,10476620,+,AMPD3;AMPD3;AMPD3,TSS200;TSS1500;Body,S_Shelf,0.5110272,0.048778772,TRUE,FALSE
cg26677322,chr11,44978644,-,NA,NA,Island,-0.6717319,0.047059499,FALSE,FALSE
cg14223001,chr11,44978881,+,NA,NA,Island,-0.6673929,0.014842918,FALSE,FALSE
cg02408252,chr11,44978996,+,NA,NA,Island,-0.4638057,0.032759937,FALSE,FALSE
cg26421056,chr11,45078620,+,NA,NA,OpenSea,-0.7232205,0.032372222,FALSE,FALSE
cg24480765,chr11,50227079,-,NA,NA,Island,0.5295449,0.045484034,FALSE,FALSE
cg17759329,chr11,50227102,+,NA,NA,Island,0.3666551,0.030059901,FALSE,FALSE
cg01615475,chr11,50227199,+,NA,NA,Island,0.5133649,0.021132768,FALSE,FALSE
cg08224787,chr11,50227265,+,NA,NA,Island,0.4041125,0.025371398,FALSE,FALSE
cg01884522,chr11,50227476,+,NA,NA,S_Shore,0.5927837,0.038040042,FALSE,FALSE
cg03357006,chr11,68973410,-,NA,NA,OpenSea,0.4323052,0.036872114,FALSE,FALSE
cg26619099,chr11,68973615,-,NA,NA,OpenSea,0.6210272,0.026803196,FALSE,FALSE
cg08914150,chr11,70256556,-,CTTN;CTTN,Body;Body,N_Shore,-0.6904097,0.043919625,TRUE,FALSE
cg23817893,chr11,86085932,-,CCDC81;CCDC81;CCDC81;CCDC81,1stExon;5'UTR;1stExon;5'UTR,Island,0.6432633,0.036743687,FALSE,FALSE
cg26724798,chr11,113844828,+,HTR3A;HTR3A,TSS1500;TSS1500,OpenSea,0.4795829,0.044309839,TRUE,FALSE
cg06889535,chr11,126455712,+,KIRREL3;KIRREL3,Body;Body,OpenSea,0.4891833,0.01605056,FALSE,FALSE
cg16948827,chr11,126455885,-,KIRREL3;KIRREL3,Body;Body,OpenSea,0.2821631,0.010155677,FALSE,FALSE
cg10839291,chr11,126456008,+,KIRREL3;KIRREL3,Body;Body,OpenSea,0.7100177,0.000325779,FALSE,FALSE
cg16628183,chr11,126456052,+,KIRREL3;KIRREL3,Body;Body,OpenSea,0.6947053,3.02E-05,FALSE,FALSE
cg06230206,chr11,126456119,+,KIRREL3;KIRREL3,Body;Body,OpenSea,0.4681706,0.001646298,FALSE,FALSE
cg04445570,chr11,126456651,-,KIRREL3;KIRREL3,Body;Body,OpenSea,0.54183,0.008959683,FALSE,FALSE
cg24795867,chr12,1752104,-,WNT5B;WNT5B,Body;Body,N_Shelf,-0.6931896,0.022537723,FALSE,FALSE
cg20921972,chr12,1753440,-,WNT5B;WNT5B,Body;Body,N_Shore,-0.1606402,0.040656205,FALSE,FALSE
cg14527250,chr12,1753866,+,WNT5B;WNT5B,Body;Body,N_Shore,-0.5399385,0.044049922,FALSE,FALSE
cg07259905,chr12,43078495,-,NA,NA,OpenSea,0.5521038,0.027969959,FALSE,FALSE
cg02619087,chr12,103838906,-,C12orf42;C12orf42,Body;Body,OpenSea,0.771831,0.0336603,FALSE,FALSE
cg16797699,chr12,109569084,+,NA,NA,OpenSea,0.5879529,0.041964805,FALSE,FALSE
cg00095930,chr12,109569116,+,NA,NA,OpenSea,0.6487309,0.025502836,FALSE,FALSE
cg20025086,chr12,109569130,+,NA,NA,OpenSea,0.5745653,0.047848407,FALSE,FALSE
cg01356908,chr12,129309156,+,SLC15A4,TSS1500,S_Shore,0.6099919,0.037129113,FALSE,FALSE
cg15623519,chr12,129309207,-,SLC15A4,TSS1500,S_Shore,0.3852941,0.027321367,FALSE,FALSE
cg10643271,chr12,129309330,+,SLC15A4,TSS1500,S_Shore,0.5261617,0.020138945,FALSE,FALSE
cg19777783,chr12,129309376,-,SLC15A4,TSS1500,S_Shore,0.4230003,0.034437242,FALSE,FALSE
cg14604444,chr12,130766091,+,NA,NA,OpenSea,-0.6096706,0.033146373,FALSE,FALSE
cg27633287,chr12,130766243,-,NA,NA,OpenSea,-0.4110856,0.033531424,FALSE,FALSE
cg21833366,chr12,130815758,+,NA,NA,OpenSea,0.2182126,0.043398779,FALSE,FALSE
cg25160899,chr12,130819008,+,NA,NA,N_Shelf,-0.2742895,0.043136913,FALSE,FALSE
cg23060047,chr12,130819504,-,NA,NA,N_Shelf,-0.4521231,0.037908732,FALSE,FALSE
cg12115748,chr12,130961424,-,RIMBP2,Body,OpenSea,0.6672286,0.010338604,FALSE,FALSE
cg13802583,chr12,130961453,+,RIMBP2,Body,OpenSea,0.6961557,0.006162608,FALSE,FALSE
cg22781714,chr12,130961986,+,RIMBP2,Body,OpenSea,0.36864,0.04988157,FALSE,FALSE
cg09744452,chr12,130965963,+,RIMBP2,5'UTR,OpenSea,-0.7647469,0.008201268,FALSE,FALSE
cg11832662,chr12,130968391,+,RIMBP2,5'UTR,OpenSea,0.4242111,0.033790288,FALSE,FALSE
cg26439710,chr13,36871943,-,C13orf38;C13orf38;C13orf38;C13orf38;C13orf38;C13orf38;C13orf38;C13orf38;C13orf38;C13orf38;C13orf38;C13orf38,1stExon;1stExon;5'UTR;5'UTR;5'UTR;1stExon;1stExon;5'UTR;5'UTR;1stExon;1stExon;5'UTR,Island,-0.3920668,0.023550809,FALSE,FALSE
cg15167956,chr13,36871948,-,C13orf38;C13orf38;C13orf38;C13orf38;C13orf38;C13orf38;C13orf38;C13orf38;C13orf38;C13orf38;C13orf38;C13orf38,1stExon;1stExon;5'UTR;5'UTR;5'UTR;1stExon;1stExon;5'UTR;5'UTR;1stExon;1stExon;5'UTR,Island,-0.4579118,0.0082744,FALSE,FALSE
cg13258563,chr13,36871962,-,C13orf38;C13orf38;C13orf38;C13orf38;C13orf38;C13orf38;C13orf38;C13orf38;C13orf38;C13orf38;C13orf38;C13orf38,1stExon;1stExon;5'UTR;5'UTR;5'UTR;1stExon;1stExon;5'UTR;5'UTR;1stExon;1stExon;5'UTR,Island,-0.4346897,0.006095686,FALSE,FALSE
cg11678027,chr13,36872048,-,C13orf38;C13orf38;C13orf38;C13orf38;C13orf38;C13orf38,TSS200;TSS200;TSS200;TSS200;TSS200;TSS200,Island,-0.3634229,0.010882938,FALSE,FALSE
cg23710498,chr13,36872086,+,C13orf38;C13orf38;C13orf38;C13orf38;C13orf38;C13orf38,TSS200;TSS200;TSS200;TSS200;TSS200;TSS200,S_Shore,-0.1918505,0.0260234,FALSE,FALSE
cg19801062,chr13,36872135,-,C13orf38;C13orf38;C13orf38;C13orf38;C13orf38;C13orf38,TSS200;TSS200;TSS200;TSS200;TSS200;TSS200,S_Shore,-0.3801652,0.025633728,FALSE,FALSE
cg23003720,chr13,36872148,-,C13orf38;C13orf38;C13orf38;C13orf38;C13orf38;C13orf38,TSS200;TSS200;TSS200;TSS200;TSS200;TSS200,S_Shore,-0.382058,0.033403191,FALSE,FALSE
cg19437258,chr13,36872155,-,C13orf38;C13orf38;C13orf38;C13orf38;C13orf38;C13orf38,TSS200;TSS200;TSS200;TSS200;TSS200;TSS200,S_Shore,-0.3613422,0.049603977,FALSE,FALSE
cg25491122,chr13,67801551,+,PCDH9;PCDH9,Body;Body,N_Shelf,0.5757975,0.029402475,TRUE,FALSE
cg03283124,chr13,67802272,-,PCDH9;PCDH9,Body;Body,N_Shelf,0.3950116,0.028098539,TRUE,FALSE
cg06048193,chr13,81258755,-,NA,NA,OpenSea,0.5676058,0.032243534,FALSE,FALSE
cg20902783,chr14,21494071,-,NDRG2;NDRG2;NDRG2;NDRG2;NDRG2;NDRG2;NDRG2;NDRG2,TSS1500;TSS200;TSS200;TSS1500;TSS1500;TSS1500;TSS200;TSS200,Island,0.6497616,0.042095705,FALSE,TRUE
cg24112713,chr14,21494093,-,NDRG2;NDRG2;NDRG2;NDRG2;NDRG2;NDRG2;NDRG2;NDRG2,TSS1500;TSS200;TSS200;TSS1500;TSS1500;TSS1500;TSS200;TSS200,Island,0.4795918,0.029271084,FALSE,TRUE
cg18081258,chr14,21494161,-,NDRG2;NDRG2;NDRG2;NDRG2;NDRG2;NDRG2;NDRG2;NDRG2,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500,Island,0.6396234,0.035079289,FALSE,TRUE
cg23284245,chr14,64757679,+,ESR2;ESR2;ESR2,5'UTR;5'UTR;5'UTR,N_Shelf,0.3155403,0.04117958,TRUE,FALSE
cg11740921,chr14,74946960,-,NPC2,3'UTR,OpenSea,0.4752947,0.049190659,TRUE,TRUE
cg00958578,chr16,103715,+,SNRNP25;POLR3K,TSS200;TSS200,Island,0.7068524,0.00887979,FALSE,TRUE
cg11653271,chr16,103723,+,SNRNP25;POLR3K,TSS200;TSS200,Island,0.7715075,0.008128069,FALSE,TRUE
cg00977403,chr16,1585720,+,IFT140;TMEM204,Body;Body,N_Shore,-0.600727,0.040918038,TRUE,FALSE
cg05977523,chr16,1586043,+,IFT140;TMEM204,Body;Body,N_Shore,-0.64976,0.045220187,TRUE,FALSE
cg08084154,chr16,2848577,-,TESSP1,1stExon,Island,0.5154729,0.039089068,FALSE,FALSE
cg19403023,chr16,2848797,-,TESSP1,Body,Island,0.4233007,0.039741772,FALSE,FALSE
cg01881182,chr16,8806531,-,ABAT;ABAT,5'UTR;TSS1500,OpenSea,-0.4307541,0.049053577,TRUE,FALSE
cg16586594,chr16,8806569,-,ABAT;ABAT,5'UTR;TSS1500,OpenSea,-0.4186669,0.027451375,TRUE,FALSE
cg26778345,chr16,8806586,-,ABAT;ABAT,5'UTR;TSS1500,OpenSea,-0.4726242,0.016510592,TRUE,FALSE
cg08241330,chr16,8806663,-,ABAT;ABAT,5'UTR;TSS200,OpenSea,-0.4426517,0.015060575,TRUE,FALSE
cg08834902,chr16,8806690,+,ABAT;ABAT,5'UTR;TSS200,OpenSea,-0.4078449,0.016742588,TRUE,FALSE
cg00231389,chr16,8806753,+,ABAT;ABAT,5'UTR;TSS200,OpenSea,-0.4651136,0.020015316,TRUE,FALSE
cg00220102,chr16,8806756,+,ABAT;ABAT,5'UTR;TSS200,OpenSea,-0.509322,0.037000896,TRUE,FALSE
cg07791866,chr16,56701994,-,MT1G,TSS200,Island,0.6736972,0.03584301,FALSE,FALSE
cg16452857,chr16,56702033,-,MT1G,TSS200,Island,0.5814498,0.028357969,FALSE,FALSE
cg27367960,chr16,56702038,-,MT1G,TSS200,Island,0.1948568,0.046273935,FALSE,FALSE
cg07602841,chr16,56702144,-,MT1G,TSS200,Island,0.5607461,0.043529244,FALSE,FALSE
cg07524214,chr16,86825363,+,NA,NA,OpenSea,-0.7290551,0.026543157,FALSE,FALSE
cg05661093,chr16,86825505,-,NA,NA,OpenSea,-0.7246478,0.027840758,FALSE,FALSE
cg05202654,chr16,88706241,+,IL17C,Body,Island,0.5554576,0.012139991,FALSE,FALSE
cg21593409,chr16,88706389,+,IL17C,Body,Island,0.6018909,0.00298998,FALSE,FALSE
cg05463589,chr16,88706426,+,IL17C,Body,Island,0.6652922,0.002745511,FALSE,FALSE
cg01786329,chr16,89114613,-,NA,NA,Island,0.6146242,0.038302337,FALSE,FALSE
cg00741945,chr16,89114669,+,NA,NA,Island,0.3988855,0.035461376,FALSE,FALSE
cg12839813,chr16,89114720,-,NA,NA,Island,0.4275677,0.0403942,FALSE,FALSE
cg08539210,chr16,90038463,+,CENPBD1;AFG3L1;CENPBD1;AFG3L1;AFG3L1,5'UTR;TSS1500;1stExon;TSS1500;TSS1500,N_Shore,0.8035017,0.002341522,FALSE,FALSE
cg13969584,chr16,90038469,+,CENPBD1;AFG3L1;CENPBD1;AFG3L1;AFG3L1,5'UTR;TSS1500;1stExon;TSS1500;TSS1500,N_Shore,0.6950653,0.009794318,FALSE,FALSE
cg27362525,chr17,5019638,+,ZNF232,5'UTR,Island,0.6393176,0.029665567,FALSE,FALSE
cg01120173,chr17,5019669,+,ZNF232,5'UTR,Island,0.4282365,0.036355699,FALSE,FALSE
cg06005844,chr17,14206874,+,HS3ST3B1;MGC12916,Body;TSS200,Island,0.4560528,0.036226879,FALSE,TRUE
cg26418770,chr17,14206886,+,HS3ST3B1;MGC12916,Body;TSS200,Island,0.5123717,0.012670907,FALSE,TRUE
cg26572811,chr17,14206901,+,HS3ST3B1;MGC12916,Body;TSS200,Island,0.5385326,0.004953732,FALSE,TRUE
cg14016875,chr17,14206981,+,HS3ST3B1;MGC12916,Body;TSS200,Island,0.4889937,0.003407175,FALSE,TRUE
cg13443605,chr17,14207036,-,HS3ST3B1;MGC12916,Body;TSS200,Island,0.355513,0.004667572,FALSE,TRUE
cg03832440,chr17,14207241,+,HS3ST3B1;MGC12916,Body;Body,Island,0.5736637,0.007640386,FALSE,TRUE
cg16619378,chr17,14207530,+,HS3ST3B1;MGC12916,Body;Body,Island,0.3491184,0.028486771,FALSE,TRUE
cg08896939,chr17,29297380,+,RNF135;RNF135,TSS1500;TSS1500,N_Shore,-0.6134366,0.007504223,FALSE,FALSE
cg01347228,chr17,29297391,-,RNF135;RNF135,TSS1500;TSS1500,N_Shore,-0.3968376,0.003734615,FALSE,FALSE
cg04193820,chr17,29297414,+,RNF135;RNF135,TSS1500;TSS1500,N_Shore,-0.3733848,0.001544687,FALSE,FALSE
cg03596034,chr17,29297437,+,RNF135;RNF135,TSS1500;TSS1500,N_Shore,-0.4938099,0.000444272,FALSE,FALSE
cg20469139,chr17,29297458,+,RNF135;RNF135,TSS1500;TSS1500,N_Shore,-0.6595768,0.000500311,FALSE,FALSE
cg18459618,chr17,29297478,-,RNF135;RNF135,TSS1500;TSS1500,N_Shore,-0.4704252,0.039611517,FALSE,FALSE
cg23141183,chr17,80185318,-,SLC16A3,TSS1500,N_Shore,0.6474362,0.001511815,FALSE,FALSE
cg21453758,chr17,80185943,-,SLC16A3;SLC16A3,TSS1500;TSS1500,N_Shore,-0.8073332,0.000204668,FALSE,FALSE
cg18345635,chr17,80186080,+,SLC16A3;SLC16A3,TSS1500;TSS1500,N_Shore,-0.477104,0.03019103,FALSE,FALSE
cg05633407,chr17,80654900,-,RAB40B,Body,N_Shore,0.4312023,0.048244095,FALSE,FALSE
cg04352305,chr17,80654922,+,RAB40B,Body,N_Shore,0.5828735,0.014951172,FALSE,FALSE
cg00693401,chr17,80655583,+,RAB40B,Body,Island,-0.531153,0.014736168,FALSE,FALSE
cg25839236,chr17,81018500,-,NA,NA,S_Shelf,-0.5475233,0.047585192,FALSE,FALSE
cg14395761,chr17,81018559,+,NA,NA,S_Shelf,-0.3286521,0.019152474,FALSE,FALSE
cg22379668,chr17,81020224,+,NA,NA,N_Shelf,0.6510021,0.004226034,FALSE,FALSE
cg04934595,chr17,81021419,-,NA,NA,N_Shelf,0.1378735,0.023298035,FALSE,FALSE
cg03691722,chr18,7011268,-,LAMA1,Body,Island,0.6584086,0.004894693,FALSE,FALSE
cg05836043,chr18,7011388,+,LAMA1,Body,Island,0.605994,0.003624987,FALSE,FALSE
cg19738980,chr18,7011463,+,LAMA1,Body,Island,0.615375,0.018411698,FALSE,FALSE
cg26569518,chr19,1325052,+,NA,NA,Island,0.6987898,0.00157734,FALSE,FALSE
cg14699651,chr19,1325099,+,NA,NA,Island,0.8137012,0.000347459,FALSE,FALSE
cg23246320,chr19,2843138,-,ZNF555,Body,S_Shore,0.484796,0.006562639,FALSE,TRUE
cg26853368,chr19,2856730,+,NA,NA,N_Shelf,0.1706888,0.01043041,FALSE,FALSE
cg11232448,chr19,2858854,-,NA,NA,N_Shore,0.5030453,0.002504456,FALSE,FALSE
cg23513183,chr19,2858944,-,NA,NA,Island,0.5873165,0.000774921,FALSE,FALSE
cg19561908,chr19,2859106,-,NA,NA,Island,0.3448191,0.009452303,FALSE,FALSE
cg12277416,chr19,2859153,+,NA,NA,Island,0.4530855,0.024974889,FALSE,FALSE
cg20640432,chr19,4153445,+,CREB3L3,TSS200,OpenSea,0.1871614,0.045088058,TRUE,FALSE
cg13509147,chr19,4153603,-,CREB3L3,TSS200,OpenSea,0.7150015,0.000963877,TRUE,FALSE
cg23777956,chr19,4153671,-,CREB3L3;CREB3L3,1stExon;5'UTR,OpenSea,0.7154805,0.000260303,TRUE,FALSE
cg20154618,chr19,4153677,-,CREB3L3;CREB3L3,1stExon;5'UTR,OpenSea,0.6735237,0.007235826,TRUE,FALSE
cg14263858,chr19,4328745,+,STAP2;STAP2,Body;Body,Island,-0.2772565,0.038564834,FALSE,TRUE
cg06776703,chr19,4328759,+,STAP2;STAP2,Body;Body,Island,-0.3748429,0.034050092,FALSE,TRUE
cg01045132,chr19,11649571,+,CNN1,TSS200,OpenSea,0.5840709,0.011061662,FALSE,FALSE
