Location,Gene Symbol,Distance from Gene(s),Direction,Methylation Percentage,Number of CpGs,P-value,FWER,Flagged
Chr18:76737248-76737263,SALL3,3012,↑,7.38%,3,0.0178,1,0
Chr10:130228284-130228354,MKI67,303635,↓,7.37%,3,0.0178,1,1
Chr19:2774407-2774455,SGTA,In Gene,↓,7.35%,3,0.0181,1,0
Chr16:51393363-51393416,SALL1,208085,↑,7.34%,3,0.0181,1,1
Chr12:133361712-133361730,GOLGA3,In Gene,↓,7.33%,3,0.0182,1,0
Chr6:3285072-3285117,"PSMG4, SLC22A23",In Gene,↓,7.31%,3,0.0184,1,0
Chr14:89933550-89933621,FOXN3,In Gene,↓,7.28%,3,0.0187,1,0
Chr4:129474684-129474709,JADE1,256070,↓,7.28%,3,0.0187,1,0
Chr8:144176313-144176360,C8orf31,34954,↓,7.28%,3,0.0187,1,0
Chr2:1997645-1997678,MYT1L,In Gene,↓,7.27%,3,0.0187,1,1
Chr20:57431061-57431072,GNAS,In Gene,↓,7.27%,3,0.0188,1,0
Chr16:31150342-31150381,PRSS36,In Gene,↓,7.22%,3,0.0193,1,1
Chr8:9009474-9009500,PPP1R3B,390,↑,7.21%,3,0.0193,1,0
Chr7:1388289-1388302,MICALL2,79799,↓,7.21%,3,0.0193,1,0
Chr9:119041775-119041809,PAPPA,In Gene,↓,7.21%,3,0.0194,1,0
Chr1:201618473-201618496,NAV1,In Gene,↓,7.16%,3,0.0197,1,0
Chr1:16554478-16554484,RSG1,3711,↓,7.15%,3,0.0198,1,1
Chr18:77171912-77171940,NFATC1,In Gene,↓,7.15%,3,0.0198,1,0
Chr21:46340811-46340836,ITGB2,In Gene,↑,7.15%,3,0.0199,1,0
Chr17:46510356-46510455,SKAP1,2719,↓,7.14%,3,0.0199,1,0
Chr21:46891103-46891115,COL18A1,In Gene,↓,7.14%,3,0.0199,1,0
Chr6:25732924-25732941,HIST1H2APS1,In Gene,↑,7.14%,3,0.02,1,1
Chr11:31841961-31841978,RCN1,In Gene,↑,7.14%,3,0.02,1,1
Chr15:40544680-40544702,"C15orf56, PAK6",In Gene,↓,7.12%,3,0.0202,1,0
Chr22:40081553-40081582,CACNA1I,In Gene,↑,7.11%,3,0.0202,1,1
Chr9:140265683-140265695,EXD3,In Gene,↑,7.11%,3,0.0202,1,0
Chr5:172346896-172346912,ERGIC1,In Gene,↑,7.08%,3,0.0205,1,1
Chr10:103534499-103534517,FGF8,In Gene,↓,7.07%,3,0.0206,1,0
Chr12:124950731-124950762,NCOR2,In Gene,↑,7.07%,3,0.0206,1,0
Chr2:88583932-88583939,THNSL2,97786,↑,7.05%,3,0.0207,1,0
Chr16:55866742-55866758,CES1,In Gene,↓,7.04%,3,0.0208,1,0
Chr16:31453449-31453461,ZNF843,In Gene,↑,7.04%,3,0.0208,1,1
Chr5:1004253-1004272,NKD2,4672,↓,7.01%,3,0.0211,1,1
Chr17:48194614-48194636,SAMD14,In Gene,↑,7.00%,3,0.0211,1,0
Chr9:124533993-124534080,DAB2IP,In Gene,↓,6.98%,3,0.0213,1,0
Chr16:56672109-56672128,MT1A,450,↓,6.96%,3,0.0214,1,0
Chr12:133069195-133069238,FBRSL1,In Gene,↑,6.94%,3,0.0215,1,0
Chr11:832358-832392,EFCAB4A,367,↑,6.91%,3,0.0218,1,0
Chr17:77925318-77925356,TBC1D16,In Gene,↓,6.90%,3,0.0218,1,0
Chr11:115829933-115830013,LINC00900,198588,↓,6.89%,3,0.0219,1,0
Chr6:29648688-29648737,ZFP57,In Gene,↑,6.89%,3,0.0219,1,1
Chr6:169446850-169446956,THBS2,168919,↓,6.87%,3,0.0221,1,0
Chr9:136450475-136450540,FAM163B,In Gene,↑,6.84%,3,0.0223,1,0
Chr12:25099561-25099573,BCAT1,In Gene,↑,6.83%,3,0.0223,1,0
Chr1:92012633-92012644,CDC7,21312,↑,6.83%,3,0.0223,1,0
Chr17:19627953-19627963,SLC47A2,5661,↑,6.82%,3,0.0223,1,0
Chr19:47933538-47933561,SLC8A2,In Gene,↓,6.80%,3,0.0225,1,0
Chr3:55517055-55517064,WNT5A,In Gene,↑,6.80%,3,0.0225,1,0
Chr18:13222570-13222582,LDLRAD4,In Gene,↑,6.78%,3,0.0226,1,0
Chr20:55203032-55203055,TFAP2C,1303,↑,6.77%,3,0.0227,1,0
Chr8:1992545-1992607,MYOM2,548,↓,6.77%,3,0.0227,1,0
Chr19:39898160-39898187,ZFP36,In Gene,↑,6.76%,3,0.0228,1,0
Chr4:996172-996183,IDUA,In Gene,↓,6.73%,3,0.0229,1,0
Chr16:30133172-30133188,MAPK3,In Gene,↑,6.70%,3,0.0231,1,0
Chr1:12600464-12600469,DHRS3,27470,↑,6.69%,3,0.0231,1,0
Chr14:24013855-24013861,ZFHX2,In Gene,↓,6.69%,3,0.0231,1,0
Chr16:85122491-85122537,KIAA0513,In Gene,↓,6.65%,3,0.0233,1,0
Chr16:83987431-83987466,OSGIN1,In Gene,↓,6.65%,3,0.0233,1,0
Chr7:158790108-158790116,LINC00689,9097,↓,6.64%,3,0.0233,1,0
Chr12:2734589-2734600,CACNA1C,In Gene,↓,6.60%,3,0.0235,1,0
Chr7:143208662-143208701,EPHA1-AS1,In Gene,↑,6.53%,3,0.0237,1,1
Chr1:565014-565091,OR4F16,55968,↓,6.52%,3,0.0238,1,1
Chr6:45472771-45472837,RUNX2,In Gene,↓,6.52%,3,0.0238,1,0
Chr22:44423206-44423251,PARVB,In Gene,↓,6.47%,3,0.0239,1,1
Chr5:32099309-32099371,PDZD2,In Gene,↓,6.46%,3,0.0239,1,0
Chr19:6272161-6272174,MLLT1,In Gene,↓,6.45%,3,0.024,1,0
Chr21:19033381-19033446,BTG3,48116,↑,6.41%,3,0.024,1,0
Chr13:113699417-113699441,MCF2L,In Gene,↓,6.40%,3,0.024,1,0
Chr14:93419578-93419595,ITPK1,In Gene,↓,6.36%,3,0.0241,1,0
Chr7:76629242-76629270,"DTX2P1-UPK3BP1-PMS2P11, UPK3B",In Gene,↓,6.32%,3,0.0241,1,0
Chr7:76629135-76629142,"DTX2P1-UPK3BP1-PMS2P11, UPK3B",In Gene,↓,6.31%,3,0.0242,1,0
Only results with an uncorrected P-value<0.05 and at least 3 CpG sites within the DMR were included.,,,,,,,,
Gene symbols annotated using Ensembl release 75.,,,,,,,,
Arrows indicate direction of DNA methylation change in relation to case subjects (bipolar disorder or bipolar disorder suicide subjects). ,,,,,,,,
Results are sorted by P-value. ,,,,,,,,
"The flagged column annotates differentially methylated regions (DMRs) with a multi-modal distribution of DNA methylation; 1 confirms the presence of the pattern, 0 confirms the absence of the pattern.",,,,,,,,
,,,,,,,,
