Gene Symbol,Differential Expression,Whole-Gene ID,Chromosome,Genomic Coordinates,Whole Gene P-value,Whole Gene Correlation with LSI,Isoform ID,Isoform P-value,Isoform Correlation with LSI,Known Stress Gene?
HNRNPH3,Isoform-Only,ENST00000480987.1,chr10,70091833-70101044,NA,NA,ENST00000480987.1,0.042713315,0.4912683,TRUE
LRRC20,Whole-Gene-Only,ENSG00000172731.9,chr10,72058729-72142382,0.042124867,-0.4790709,NA,NA,NA,FALSE
ADK,Isoform-Only,ENST00000372734.3,chr10,75936444-76469061,NA,NA,ENST00000372734.3,0.047074637,0.4533614,TRUE
ZNF503,Whole-Gene-Only,ENSG00000165655.14,chr10,77157588-77161664,0.018868838,-0.5230098,NA,NA,NA,FALSE
RP13-39P12.3,Isoform-Only,ENST00000601701.1,chr10,79550419-79551405,NA,NA,ENST00000601701.1,0.048992717,-0.4559805,FALSE
RPS24,Isoform-Only,ENST00000372360.3,chr10,79793623-79800455,NA,NA,ENST00000372360.3,0.015744817,-0.7131057,FALSE
ZMIZ1,Isoform-Only,ENST00000478357.1,chr10,81036936-81056692,NA,NA,ENST00000478357.1,0.016641347,0.5510849,TRUE
TMEM254,Whole-Gene-Only,ENSG00000133678.9,chr10,81838402-81852313,0.000814417,-0.6940267,NA,NA,NA,FALSE
ADIRF-AS1,Both,ENSG00000272734.1,chr10,88725102-88731068,0.022978477,-0.5260635,ENST00000609170.1,0.042851533,-0.4838917,FALSE
GLUD1,Isoform-Only,ENST00000277865.4,chr10,88810243-88854623,NA,NA,ENST00000277865.4,0.027503542,-0.4953468,TRUE
GLUD1,Isoform-Only,ENST00000487058.1,chr10,88817475-88820137,NA,NA,ENST00000487058.1,0.006328479,-0.583236,TRUE
PAPSS2,Both,ENSG00000198682.8,chr10,89419370-89507462,0.019375787,-0.5421473,ENST00000456849.1,0.032772513,-0.5283822,FALSE
HECTD2,Whole-Gene-Only,ENSG00000165338.12,chr10,93170096-93274586,0.045487189,-0.4521677,NA,NA,NA,FALSE
PPP1R3C,Both,ENSG00000119938.8,chr10,93388199-93392811,0.038670508,-0.4545758,ENST00000238994.5,0.045140111,-0.4675535,FALSE
EXOC6,Isoform-Only,ENST00000260762.6,chr10,94608277-94819247,NA,NA,ENST00000260762.6,0.004067064,0.6187021,FALSE
MYOF,Both,ENSG00000138119.12,chr10,95066186-95242074,0.013880965,-0.5243642,ENST00000463743.1,0.018015101,-0.5549748,TRUE
NOC3L,Whole-Gene-Only,ENSG00000173145.7,chr10,96075004-96122716,0.032766589,-0.4866768,NA,NA,NA,FALSE
RP11-175O19.4,Whole-Gene-Only,ENSG00000231025.1,chr10,98752207-98755716,0.029427944,0.5244177,NA,NA,NA,FALSE
FRAT2,Both,ENSG00000181274.5,chr10,99092255-99094458,0.011318648,0.6131286,ENST00000371019.2,0.02913618,0.6082892,FALSE
RRP12,Isoform-Only,ENST00000465394.1,chr10,99116863-99123624,NA,NA,ENST00000465394.1,0.041174238,0.4656894,TRUE
R3HCC1L,Isoform-Only,ENST00000298999.3,chr10,99894428-100004654,NA,NA,ENST00000298999.3,0.017717598,-0.5310858,FALSE
ADM,Both,ENSG00000148926.5,chr11,10326227-10328944,0.01069678,0.5968669,ENST00000524948.1,0.004966117,-0.5999412,TRUE
ADM,Both,ENSG00000148926.5,chr11,10326227-10328944,0.01069678,0.5968669,ENST00000528655.1,0.006160153,0.5858114,TRUE
ADM,Both,ENSG00000148926.5,chr11,10326227-10328944,0.01069678,0.5968669,ENST00000530439.1,0.030776597,0.4658258,TRUE
RP11-37O16.3,Both,ENSG00000255350.1,chr11,103275037-103276562,0.028427531,-0.4982073,ENST00000529569.1,0.028450253,-0.5254581,FALSE
ACAT1,Isoform-Only,ENST00000533597.1,chr11,108016848-108018315,NA,NA,ENST00000533597.1,0.03830312,-0.4783686,TRUE
ATM,Isoform-Only,ENST00000452508.2,chr11,108093843-108239829,NA,NA,ENST00000452508.2,0.03216126,-0.4209751,TRUE
RDX,Whole-Gene-Only,ENSG00000137710.10,chr11,110045605-110167447,0.026352644,-0.5127049,NA,NA,NA,TRUE
C11orf57,Whole-Gene-Only,ENSG00000150776.13,chr11,111944810-111955874,0.031908506,-0.6108308,NA,NA,NA,FALSE
TIMM8B,Isoform-Only,ENST00000541231.1,chr11,111955541-111957522,NA,NA,ENST00000541231.1,0.04850694,-0.4388749,FALSE
IL18,Isoform-Only,ENST00000525547.1,chr11,112013980-112021796,NA,NA,ENST00000525547.1,0.011901367,-0.5845034,FALSE
ZW10,Whole-Gene-Only,ENSG00000086827.4,chr11,113603909-113644533,0.028476538,-0.3982048,NA,NA,NA,TRUE
CADM1,Whole-Gene-Only,ENSG00000182985.12,chr11,115039938-115375675,0.000360889,-0.7069483,NA,NA,NA,TRUE
SIK3,Isoform-Only,ENST00000465421.1,chr11,116716128-116735784,NA,NA,ENST00000465421.1,0.001028989,-0.6966946,FALSE
RPS25,Isoform-Only,ENST00000524864.1,chr11,118888071-118889376,NA,NA,ENST00000524864.1,0.040020862,-0.4560573,FALSE
VPS11,Isoform-Only,ENST00000300793.6,chr11,118938493-118952686,NA,NA,ENST00000300793.6,0.004706915,-0.6083409,FALSE
TRIM29,Both,ENSG00000137699.12,chr11,119981983-120056237,0.023237101,-0.5410978,ENST00000524816.3,0.039045201,-0.5337324,FALSE
TBCEL,Whole-Gene-Only,ENSG00000154114.8,chr11,120894781-120961484,0.042945707,-0.4554608,NA,NA,NA,FALSE
HSPA8,Both,ENSG00000109971.9,chr11,122928197-122933938,0.030633554,-0.5078736,ENST00000227378.3,0.015776761,-0.5669055,TRUE
ESAM,Both,ENSG00000149564.7,chr11,124622026-124632186,0.016709579,-0.5353249,ENST00000278927.5,0.028681301,-0.5127843,TRUE
ST3GAL4,Isoform-Only,ENST00000534457.1,chr11,126276355-126283942,NA,NA,ENST00000534457.1,0.012890531,-0.5165601,TRUE
ARNTL,Both,ENSG00000133794.13,chr11,13298199-13408813,0.041775493,0.5064254,ENST00000403482.3,0.002191397,0.597226,TRUE
RP11-531H8.2,Both,ENSG00000254789.1,chr11,15593569-15643937,0.008721744,0.5786756,ENST00000533082.1,0.021217834,0.5485934,FALSE
LSP1,Isoform-Only,ENST00000485341.1,chr11,1901907-1913497,NA,NA,ENST00000485341.1,0.040606906,0.4897392,FALSE
ZDHHC13,Isoform-Only,ENST00000525490.1,chr11,19138703-19197969,NA,NA,ENST00000525490.1,0.010177694,-0.6218533,FALSE
RIC8A,Isoform-Only,ENST00000527696.1,chr11,209069-215113,NA,NA,ENST00000527696.1,0.00369276,-0.6919925,FALSE
C11orf21,Whole-Gene-Only,ENSG00000110665.7,chr11,2316875-2324279,0.030399164,0.5070571,NA,NA,NA,FALSE
PSMD13,Isoform-Only,ENST00000352303.5,chr11,237026-252953,NA,NA,ENST00000352303.5,0.008610162,-0.5387114,FALSE
RP11-326C3.2,Whole-Gene-Only,ENSG00000255026.1,chr11,287305-288987,0.042672869,0.444871,NA,NA,NA,FALSE
RCN1,Both,ENSG00000049449.4,chr11,31833939-32127301,0.011162271,-0.5723735,ENST00000533898.1,0.028652943,-0.4841227,FALSE
RP11-326C3.12,Both,ENSG00000255328.1,chr11,327171-330122,0.037610198,-0.4612058,ENST00000524824.1,0.015796647,-0.5499542,FALSE
ABTB2,Both,ENSG00000166016.4,chr11,34172535-34379555,0.001431975,-0.6833457,ENST00000298992.2,0.001503633,-0.7150465,FALSE
RRM1,Whole-Gene-Only,ENSG00000167325.10,chr11,4115937-4160106,0.049266146,-0.4702099,NA,NA,NA,FALSE
EXT2,Whole-Gene-Only,ENSG00000151348.9,chr11,44117099-44266979,0.045744575,-0.498289,NA,NA,NA,FALSE
MDK,Whole-Gene-Only,ENSG00000110492.11,chr11,46402306-46405375,0.012131008,-0.525777,NA,NA,NA,TRUE
NDUFS3,Isoform-Only,ENST00000263774.4,chr11,47600562-47606114,NA,NA,ENST00000263774.4,0.013204774,-0.5511584,TRUE
FNBP4,Isoform-Only,ENST00000530207.1,chr11,47744534-47748456,NA,NA,ENST00000530207.1,0.042689894,-0.4905451,FALSE
RNH1,Isoform-Only,ENST00000356187.5,chr11,494561-507300,NA,NA,ENST00000356187.5,0.01720126,-0.5339011,TRUE
MIR210HG,Both,ENSG00000247095.2,chr11,565660-568457,0.025357558,-0.4967791,ENST00000500447.1,0.000816456,-0.724982,FALSE
RP11-872D17.8,Whole-Gene-Only,ENSG00000254979.1,chr11,57154838-57191532,0.039477266,-0.4572011,NA,NA,NA,FALSE
CTNND1,Whole-Gene-Only,ENSG00000198561.8,chr11,57520715-57587018,0.024814613,-0.5424354,NA,NA,NA,TRUE
GLYATL2,Whole-Gene-Only,ENSG00000156689.2,chr11,58601542-58671688,0.035527237,-0.4625953,NA,NA,NA,FALSE
PPP1R32,Whole-Gene-Only,ENSG00000162148.6,chr11,61248592-61258403,0.041097231,0.4602486,NA,NA,NA,FALSE
BEST1,Isoform-Only,ENST00000524926.1,chr11,61717832-61731933,NA,NA,ENST00000524926.1,0.041825808,-0.4661206,FALSE
FTH1,Both,ENSG00000167996.11,chr11,61727190-61735132,0.049766387,0.4739743,ENST00000532829.1,0.01190062,-0.5381675,TRUE
UBXN1,Isoform-Only,ENST00000534176.1,chr11,62444085-62446553,NA,NA,ENST00000534176.1,0.004283322,-0.6189049,FALSE
MARK2,Whole-Gene-Only,ENSG00000072518.16,chr11,63606400-63678491,0.04588198,0.4888589,NA,NA,NA,TRUE
DNAJC4,Isoform-Only,ENST00000535246.1,chr11,63999364-64001619,NA,NA,ENST00000535246.1,0.025517636,-0.5265322,TRUE
VEGFB,Isoform-Only,ENST00000543462.1,chr11,64004599-64006259,NA,NA,ENST00000543462.1,0.003919441,-0.6287781,FALSE
SMPD1,Isoform-Only,ENST00000526280.1,chr11,6413107-6416228,NA,NA,ENST00000526280.1,0.046175899,-0.458178,TRUE
PYGM,Isoform-Only,ENST00000483742.1,chr11,64513861-64516360,NA,NA,ENST00000483742.1,0.039788381,0.4964663,TRUE
CDC42BPG,Both,ENSG00000171219.8,chr11,64590859-64612041,0.022314933,-0.5400583,ENST00000342711.5,0.015855168,-0.6017127,FALSE
ATG2A,Isoform-Only,ENST00000472525.1,chr11,64664512-64665202,NA,NA,ENST00000472525.1,0.040049078,-0.5100222,FALSE
CAPN1,Isoform-Only,ENST00000279247.6,chr11,64949343-64979476,NA,NA,ENST00000279247.6,0.042989549,-0.459147,FALSE
TIGD3,Both,ENSG00000173825.6,chr11,65122238-65125084,0.012454733,0.5106729,ENST00000309880.5,0.032918415,0.4718658,FALSE
NEAT1,Both,ENSG00000245532.4,chr11,65190245-65213011,0.015658369,0.5689762,ENST00000501122.2,0.016250127,0.613718,FALSE
SNX32,Whole-Gene-Only,ENSG00000172803.13,chr11,65601112-65624367,0.046183276,0.4701958,NA,NA,NA,FALSE
EFEMP2,Whole-Gene-Only,ENSG00000172638.8,chr11,65633912-65641063,0.038356949,0.4884974,NA,NA,NA,FALSE
C11orf68,Isoform-Only,ENST00000530188.1,chr11,65684304-65685831,NA,NA,ENST00000530188.1,0.030451862,-0.48333,FALSE
BANF1,Isoform-Only,ENST00000445560.2,chr11,65769699-65771617,NA,NA,ENST00000445560.2,3.00E-05,-0.8223628,FALSE
SPTBN2,Isoform-Only,ENST00000309996.2,chr11,66452721-66488870,NA,NA,ENST00000309996.2,0.00474684,-0.6118647,FALSE
ANKRD13D,Isoform-Only,ENST00000512231.1,chr11,67065404-67069954,NA,NA,ENST00000512231.1,0.046496662,0.4356494,FALSE
MTL5,Whole-Gene-Only,ENSG00000132749.6,chr11,68474908-68519032,0.01213511,0.5806873,NA,NA,NA,FALSE
MYEOV,Isoform-Only,ENST00000535653.1,chr11,69061631-69064754,NA,NA,ENST00000535653.1,0.048160097,-0.4536544,FALSE
TMEM80,Both,ENSG00000177042.10,chr11,695428-705028,0.036594132,-0.4956439,ENST00000397512.3,0.008986597,-0.5742086,FALSE
RELT,Isoform-Only,ENST00000064780.2,chr11,73087309-73108517,NA,NA,ENST00000064780.2,0.031967837,0.4967353,FALSE
RP11-809N8.5,Both,ENSG00000256148.1,chr11,73221703-73221865,0.037037964,-0.4851452,ENST00000540641.1,0.048830673,-0.4982392,FALSE
POLD3,Whole-Gene-Only,ENSG00000077514.4,chr11,74204896-74380162,0.045900908,0.4335413,NA,NA,NA,FALSE
SLCO2B1,Isoform-Only,ENST00000341411.4,chr11,74862040-74917444,NA,NA,ENST00000341411.4,0.004749178,-0.585302,FALSE
PRCP,Isoform-Only,ENST00000313010.3,chr11,82534544-82611639,NA,NA,ENST00000313010.3,0.03073362,0.5129363,FALSE
RAB30-AS1,Whole-Gene-Only,ENSG00000246067.3,chr11,82783108-82817761,0.000508255,-0.7044104,NA,NA,NA,FALSE
TRIM66,Isoform-Only,ENST00000299550.6,chr11,8633584-8680383,NA,NA,ENST00000299550.6,0.002746114,-0.6255263,FALSE
ST5,Both,ENSG00000166444.13,chr11,8714898-8932498,0.013508446,-0.5321996,ENST00000532162.1,0.008016586,-0.5796044,FALSE
TMEM9B,Isoform-Only,ENST00000525069.1,chr11,8969048-8986558,NA,NA,ENST00000525069.1,0.034078872,-0.4331488,FALSE
NRIP3,Both,ENSG00000175352.6,chr11,9002123-9025596,0.038047272,-0.4742081,ENST00000309166.3,0.024190185,-0.5519146,FALSE
TAF1D,Isoform-Only,ENST00000534079.1,chr11,93463366-93465667,NA,NA,ENST00000534079.1,0.047394771,-0.4657733,FALSE
SESN3,Whole-Gene-Only,ENSG00000149212.6,chr11,94898704-94965705,0.035570388,0.5171652,NA,NA,NA,TRUE
CLEC12B,Isoform-Only,ENST00000539155.1,chr12,10163358-10170551,NA,NA,ENST00000539155.1,0.041313024,0.4659499,FALSE
ARL1,Isoform-Only,ENST00000261636.8,chr12,101786898-101801598,NA,NA,ENST00000261636.8,0.024860175,-0.5255382,FALSE
CRY1,Isoform-Only,ENST00000008527.5,chr12,107385142-107487607,NA,NA,ENST00000008527.5,0.026425199,-0.5241041,TRUE
MAGOHB,Whole-Gene-Only,ENSG00000111196.5,chr12,10758612-10766222,0.040988559,-0.4348719,NA,NA,NA,FALSE
CMKLR1,Both,ENSG00000174600.9,chr12,108681821-108733118,0.006968711,-0.4771599,ENST00000412676.1,0.020212137,-0.4805466,TRUE
USP30,Isoform-Only,ENST00000479219.1,chr12,109520341-109525828,NA,NA,ENST00000479219.1,0.022441549,-0.5455318,FALSE
KCTD10,Whole-Gene-Only,ENSG00000110906.8,chr12,109886461-109915349,0.049943912,-0.5423146,NA,NA,NA,FALSE
ATP2A2,Isoform-Only,ENST00000313432.5,chr12,110783242-110788898,NA,NA,ENST00000313432.5,0.036280968,-0.5445604,TRUE
RPH3A,Whole-Gene-Only,ENSG00000089169.10,chr12,113008184-113336686,0.03881675,0.4629744,NA,NA,NA,FALSE
PLBD2,Isoform-Only,ENST00000280800.3,chr12,113796375-113827203,NA,NA,ENST00000280800.3,0.011858917,-0.4961212,FALSE
PRB1,Whole-Gene-Only,ENSG00000251655.2,chr12,11504757-11548500,0.013101979,-0.5092462,NA,NA,NA,FALSE
TBX3,Whole-Gene-Only,ENSG00000135111.10,chr12,115108059-115121969,0.005386481,-0.5973243,NA,NA,NA,FALSE
MAP1LC3B2,Whole-Gene-Only,ENSG00000171471.5,chr12,116997186-117014425,0.034737763,0.4721253,NA,NA,NA,FALSE
FBXO21,Both,ENSG00000135108.10,chr12,117581146-117628336,0.02999661,-0.4993874,ENST00000427718.2,0.032966942,-0.523118,FALSE
HSPB8,Both,ENSG00000152137.2,chr12,119616447-119658936,0.024050287,-0.5096248,ENST00000281938.2,0.038155518,-0.5058855,TRUE
RP11-64B16.2,Both,ENSG00000213144.2,chr12,119632655-119633199,0.035101315,-0.4629139,ENST00000392530.2,0.035760651,-0.4804523,FALSE
PRKAB1,Isoform-Only,ENST00000541640.1,chr12,120105669-120119429,NA,NA,ENST00000541640.1,0.033575984,-0.4855453,TRUE
CIT,Both,ENSG00000122966.9,chr12,120123595-120315095,0.02567321,-0.4963654,ENST00000545913.1,0.006540844,-0.6034824,TRUE
RPLP0,Isoform-Only,ENST00000228306.4,chr12,120634510-120639014,NA,NA,ENST00000228306.4,0.012704675,-0.5598062,FALSE
DIABLO,Isoform-Only,ENST00000353548.6,chr12,122692216-122710599,NA,NA,ENST00000353548.6,0.016901769,-0.5403723,TRUE
RSRC2,Isoform-Only,ENST00000392442.2,chr12,122989877-122998464,NA,NA,ENST00000392442.2,0.017382918,-0.5082611,FALSE
HCAR2,Whole-Gene-Only,ENSG00000182782.7,chr12,123185840-123187890,0.025891063,0.5505917,NA,NA,NA,FALSE
HCAR3,Both,ENSG00000255398.2,chr12,123199303-123201439,0.016852964,0.5614047,ENST00000528880.2,0.039006591,0.5455251,FALSE
UBC,Isoform-Only,ENST00000339647.5,chr12,125396194-125399693,NA,NA,ENST00000339647.5,0.001417548,-0.7347195,FALSE
UBC,Isoform-Only,ENST00000541272.1,chr12,125397581-125398620,NA,NA,ENST00000541272.1,7.21E-06,-0.8309142,FALSE
GPRC5A,Both,ENSG00000013588.5,chr12,13043716-13070871,0.041529696,-0.488239,ENST00000542056.1,0.032441919,-0.5366385,FALSE
ZNF26,Isoform-Only,ENST00000328654.5,chr12,133563050-133589154,NA,NA,ENST00000328654.5,0.019374847,-0.5658629,FALSE
ZNF84,Whole-Gene-Only,ENSG00000198040.6,chr12,133613878-133639885,0.006946158,-0.5712083,NA,NA,NA,FALSE
HIST4H4,Both,ENSG00000197837.3,chr12,14920933-14924065,0.04614536,-0.4563898,ENST00000358064.3,0.018125839,-0.5223795,TRUE
PTPRO,Whole-Gene-Only,ENSG00000151490.9,chr12,15475331-15750333,0.023395576,-0.4662761,NA,NA,NA,FALSE
EPS8,Whole-Gene-Only,ENSG00000151491.8,chr12,15773092-16035263,0.030554765,-0.481598,NA,NA,NA,FALSE
ADIPOR2,Whole-Gene-Only,ENSG00000006831.9,chr12,1797740-1897844,0.046436775,-0.4877117,NA,NA,NA,TRUE
BCAT1,Whole-Gene-Only,ENSG00000060982.10,chr12,24964295-25102393,0.046901989,-0.4997206,NA,NA,NA,FALSE
BHLHE41,Both,ENSG00000123095.5,chr12,26272959-26278060,0.024189412,-0.4842956,ENST00000242728.4,0.024132855,-0.5091543,TRUE
FAR2,Both,ENSG00000064763.6,chr12,29302036-29493913,0.044264553,0.4267357,ENST00000547759.1,0.007801797,0.5954788,FALSE
RP11-996F15.2,Whole-Gene-Only,ENSG00000257176.1,chr12,29433351-29470781,0.043878012,0.4582135,NA,NA,NA,FALSE
ERGIC2,Both,ENSG00000087502.13,chr12,29490285-29534122,0.013878304,0.5152676,ENST00000549182.1,0.009502852,0.5830347,FALSE
SLC6A12,Both,ENSG00000111181.8,chr12,299243-323736,0.014425229,-0.5376245,ENST00000545058.1,0.023837203,-0.51588,TRUE
PKP2,Isoform-Only,ENST00000070846.6,chr12,32943788-33049690,NA,NA,ENST00000070846.6,0.040827603,-0.4621837,TRUE
MTND1P24,Both,ENSG00000257858.1,chr12,42093193-42094053,0.016424221,-0.5124922,ENST00000552175.1,0.018625075,-0.5198636,FALSE
RPAP3,Whole-Gene-Only,ENSG00000005175.5,chr12,48057070-48099844,0.04223882,0.4919206,NA,NA,NA,FALSE
RND1,Whole-Gene-Only,ENSG00000172602.5,chr12,49250928-49259681,0.049796054,-0.4531391,NA,NA,NA,TRUE
TUBA1A,Both,ENSG00000167552.9,chr12,49578579-49583107,0.024512673,0.5355166,ENST00000550254.1,0.033888399,0.4896405,TRUE
TUBA1C,Isoform-Only,ENST00000549554.1,chr12,49582519-49602684,NA,NA,ENST00000549554.1,0.038026631,0.4868643,TRUE
SPATS2,Whole-Gene-Only,ENSG00000123352.13,chr12,49760367-49921205,0.016018432,-0.5804199,NA,NA,NA,FALSE
COX14,Isoform-Only,ENST00000550654.1,chr12,50505987-50514240,NA,NA,ENST00000550654.1,0.001347247,-0.6221006,FALSE
BIN2,Whole-Gene-Only,ENSG00000110934.6,chr12,51674822-51718452,0.024621702,0.5607115,NA,NA,NA,FALSE
ACVR1B,Isoform-Only,ENST00000257963.4,chr12,52345451-52390862,NA,NA,ENST00000257963.4,0.041968239,-0.6113855,TRUE
KRT80,Both,ENSG00000167767.9,chr12,52562780-52585784,0.01422596,-0.5704385,ENST00000394815.2,0.026112795,-0.5460489,FALSE
KRT78,Isoform-Only,ENST00000547920.1,chr12,53232750-53233598,NA,NA,ENST00000547920.1,0.041280219,-0.4922727,TRUE
KRT18,Both,ENSG00000111057.6,chr12,53342655-53346685,0.033814466,-0.4823415,ENST00000388837.2,0.032603248,-0.5164264,FALSE
ZNF385A,Isoform-Only,ENST00000549937.1,chr12,54764808-54778244,NA,NA,ENST00000549937.1,0.028641936,-0.5025166,FALSE
MMP19,Both,ENSG00000123342.11,chr12,56229217-56236750,0.015926748,-0.5596057,ENST00000322569.4,0.008774254,-0.5687422,TRUE
WIBG,Isoform-Only,ENST00000398213.4,chr12,56295198-56320896,NA,NA,ENST00000398213.4,0.039885459,-0.4836555,FALSE
MYL6,Isoform-Only,ENST00000549566.1,chr12,56552142-56555249,NA,NA,ENST00000549566.1,0.047054132,0.4569909,FALSE
STAT2,Isoform-Only,ENST00000557252.1,chr12,56743644-56744965,NA,NA,ENST00000557252.1,0.034470288,-0.5009491,FALSE
STAT6,Isoform-Only,ENST00000557781.1,chr12,57497056-57499100,NA,NA,ENST00000557781.1,0.036166924,0.6015251,FALSE
MARS,Isoform-Only,ENST00000546971.1,chr12,57905369-57906747,NA,NA,ENST00000546971.1,0.033785548,0.4633519,FALSE
CYP27B1,Both,ENSG00000111012.5,chr12,58156117-58162769,0.000983517,-0.5862501,ENST00000547344.1,0.024193594,-0.4924674,FALSE
METTL21B,Whole-Gene-Only,ENSG00000123427.11,chr12,58165275-58176324,0.042186489,-0.4469618,NA,NA,NA,FALSE
CD9,Both,ENSG00000010278.7,chr12,6308881-6347425,0.032507445,-0.4920523,ENST00000009180.4,0.044423572,-0.4955195,TRUE
LDHAL6CP,Whole-Gene-Only,ENSG00000250517.2,chr12,63397333-63400682,0.031430312,0.449176,NA,NA,NA,FALSE
SCNN1A,Isoform-Only,ENST00000228916.2,chr12,6456013-6484715,NA,NA,ENST00000228916.2,0.042766743,-0.4479404,TRUE
RP11-611O2.5,Whole-Gene-Only,ENSG00000257181.1,chr12,69235068-69237017,0.020189207,0.4514248,NA,NA,NA,FALSE
CPM,Whole-Gene-Only,ENSG00000135678.7,chr12,69235977-69365350,0.024938294,-0.5741836,NA,NA,NA,TRUE
SPSB2,Whole-Gene-Only,ENSG00000111671.5,chr12,6980099-6998522,0.020789242,0.531046,NA,NA,NA,FALSE
PTPN6,Isoform-Only,ENST00000543744.1,chr12,7060448-7062578,NA,NA,ENST00000543744.1,0.048975218,0.4962069,FALSE
PTPN6,Isoform-Only,ENST00000542761.1,chr12,7068576-7069567,NA,NA,ENST00000542761.1,0.030925982,0.513941,FALSE
THAP2,Whole-Gene-Only,ENSG00000173451.2,chr12,72056789-72074419,0.025847097,0.4929227,NA,NA,NA,FALSE
TMEM19,Isoform-Only,ENST00000266673.5,chr12,72079867-72097836,NA,NA,ENST00000266673.5,0.003950641,-0.6540166,FALSE
RP11-585P4.5,Whole-Gene-Only,ENSG00000257497.1,chr12,75877904-75883600,0.016504487,0.4921051,NA,NA,NA,FALSE
SLC2A3,Whole-Gene-Only,ENSG00000059804.11,chr12,8071826-8088871,0.019670111,0.5641337,NA,NA,NA,TRUE
C3AR1,Both,ENSG00000171860.4,chr12,8210898-8219067,0.042163221,-0.4636108,ENST00000307637.4,0.041645936,-0.4986085,FALSE
LINC00936,Both,ENSG00000271614.1,chr12,90102736-90106367,0.019262681,0.4650734,ENST00000605386.1,0.047820462,0.4594528,FALSE
IKBIP,Both,ENSG00000166130.10,chr12,99007183-99038891,0.041891888,0.4671571,ENST00000299157.4,0.042158949,0.4954645,FALSE
CARS2,Isoform-Only,ENST00000375781.5,chr13,111293764-111316122,NA,NA,ENST00000375781.5,0.048246127,0.4695412,FALSE
PCID2,Whole-Gene-Only,ENSG00000126226.17,chr13,113831891-113863029,0.034684357,-0.4828624,NA,NA,NA,FALSE
ZMYM5,Isoform-Only,ENST00000382909.1,chr13,20397622-20425936,NA,NA,ENST00000382909.1,0.036029535,0.4120226,FALSE
CRYL1,Isoform-Only,ENST00000298248.7,chr13,20977806-21099996,NA,NA,ENST00000298248.7,0.031110571,-0.5033598,FALSE
GTF3A,Isoform-Only,ENST00000419181.1,chr13,27998799-28009825,NA,NA,ENST00000419181.1,0.000419913,-0.720542,TRUE
HSPH1,Both,ENSG00000120694.15,chr13,31710762-31736525,0.021094977,-0.525063,ENST00000469538.2,0.000471417,-0.7249359,TRUE
RP11-37E23.5,Whole-Gene-Only,ENSG00000230633.1,chr13,32872291-32872849,0.036938135,0.4491922,NA,NA,NA,FALSE
N4BP2L2,Isoform-Only,ENST00000512755.1,chr13,33101012-33110520,NA,NA,ENST00000512755.1,0.034485683,0.5109444,FALSE
KBTBD7,Whole-Gene-Only,ENSG00000120696.8,chr13,41763969-41768702,0.029943874,0.4025181,NA,NA,NA,FALSE
GPALPP1,Isoform-Only,ENST00000497558.1,chr13,45563755-45607737,NA,NA,ENST00000497558.1,0.026040589,-0.5483439,FALSE
RP11-290D2.6,Both,ENSG00000273149.1,chr13,45914174-45915318,0.026360857,-0.4461696,ENST00000610057.1,0.043606,-0.432112,FALSE
KIAA0226L,Isoform-Only,ENST00000378787.3,chr13,46917099-46961621,NA,NA,ENST00000378787.3,0.022269974,0.5138989,FALSE
DLEU2,Isoform-Only,ENST00000425586.1,chr13,50601269-50699856,NA,NA,ENST00000425586.1,0.048955761,0.4648214,FALSE
INTS6,Isoform-Only,ENST00000478566.1,chr13,52023620-52027151,NA,NA,ENST00000478566.1,0.047249435,0.442405,FALSE
WDFY2,Whole-Gene-Only,ENSG00000139668.7,chr13,52158644-52336171,0.016959212,0.5531576,NA,NA,NA,FALSE
LMO7,Whole-Gene-Only,ENSG00000136153.15,chr13,76194570-76434004,0.034443668,-0.4922546,NA,NA,NA,FALSE
FARP1,Isoform-Only,ENST00000319562.6,chr13,98795505-99102023,NA,NA,ENST00000319562.6,0.006590941,-0.625866,FALSE
STK24,Isoform-Only,ENST00000397517.2,chr13,99102455-99229117,NA,NA,ENST00000397517.2,0.030983522,0.4883651,TRUE
RP11-982M15.8,Whole-Gene-Only,ENSG00000260792.1,chr14,105127457-105131895,0.026194972,0.5013399,NA,NA,NA,FALSE
AKT1,Isoform-Only,ENST00000553506.1,chr14,105235689-105241017,NA,NA,ENST00000553506.1,0.030041531,0.5013665,TRUE
AKT1,Isoform-Only,ENST00000402615.2,chr14,105235689-105260865,NA,NA,ENST00000402615.2,0.025465467,0.5051886,TRUE
AHNAK2,Both,ENSG00000185567.6,chr14,105403581-105444694,0.02961754,-0.5296739,ENST00000557457.1,0.029955533,-0.5660946,FALSE
NUDT14,Whole-Gene-Only,ENSG00000183828.10,chr14,105639275-105647660,0.034900428,-0.4463347,NA,NA,NA,FALSE
CRIP2,Isoform-Only,ENST00000550577.1,chr14,105941151-105946494,NA,NA,ENST00000550577.1,0.00644377,-0.6023203,FALSE
PARP2,Whole-Gene-Only,ENSG00000129484.9,chr14,20811741-20826064,0.023713529,-0.4868921,NA,NA,NA,FALSE
TMEM55B,Isoform-Only,ENST00000553460.1,chr14,20926017-20927850,NA,NA,ENST00000553460.1,0.03283064,-0.463373,FALSE
PNP,Both,ENSG00000198805.7,chr14,20937113-20945253,0.036906011,-0.5012802,ENST00000361505.5,0.01996615,-0.6369388,FALSE
